hhid,round,comment,s7q1a,s7q1a2,s7q1b,s7q1b2,s7q1c,s7q1c2,s7q2,s7q4a,s7q4a2,s7q4b,s7q4b2,s7q5a,s7q5a2,s7q5b,s7q5b2,s7q5c,s7q5c2,s7q5d,s7q5d2,s7q5e,s7q5e2,s7q5f,s7q5f2,s7q6,s7q6a,s7q6b,s7q6c,s7q6d,s7q6e,s7q7,s7q8a,s7q8b,s7q8c,s7q8d,s7q8e,s7q8f,s7q8g,s7q8h,s7q8i,s7q8j,s7q8_other,s7q9_1,s7q9_2,s7q9_3
4029,6,0,,,,,,,Somewhat below normal,,,,,,,,,,,,,,,,,,,,,,Destitute,,Yes,No,No,No,No,No,No,No,No,No,,Reduce the number of meals eaten each day,,
4030,1,,Disease outbreak,,Lack of rain and forage availability,,Conflict,,Somewhat below normal,Source of income from livestock trading,,Source of food from meat and blood,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,.1,,,,,,,,,,,,,,,,,,,,
4030,2,,,,,,,,Normal,Source of food from meat and blood,,Source of household saving and status,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,,,,,,0,1,5,5,,,,,,,,,,,,,,,,
4030,3,0,,,,,,,Above normal,Source of income from livestock trading,,Source of food from milk,,Casual labor,,Livestock trading,,Casual labor,,Livestock trading,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,
4030,4,0,,,,,,,Normal,Source of food from milk,.,Source of food from meat and blood,.,Year-round wage/salaried employment,,Year-round wage/salaried employment,,Year-round wage/salaried employment,,Livestock keeping,,,,,,,1,2,2,2,,,,,,,,,,,,,,,,
4030,5,0,,,,,,,Normal,Source of household saving and status,,Source of food from milk,,Livestock keeping,,Cash transfers (CARE),,Livestock keeping,,Livestock keeping,,,,,,,0,0,1,3,,No,,,,,,,,,,,,,,
4030,6,0,,,,,,,Normal,,,,,,,,,,,,,,,,,,,,,,Viable,,No,No,No,No,Yes,No,No,No,No,No,,Sell livestock,,
4031,1,,Lack of rain and forage availability,,Disease outbreak,,Raiding,,Normal,Other (specify),Narrowly defined missing value,Other (specify),Narrowly defined missing value,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,.69999999,,,,,,,,,,,,,,,,,,,,
4031,2,,,,,,,,Much below normal,Do not own livestock,,No second role,,Casual labor,,Food aid,,Food aid,,Food aid,,,,,,,2,4,5,6,,,,,,,,,,,,,,,,
4031,3,0,,,,,,,Much below normal,Do not own livestock,,,,Food aid,,Transfer from family (outside of hh),,Transfer from family (outside of hh),,Transfer from family (outside of hh),,,,,,,2,3,1,4,,,,,,,,,,,,,,,,
4031,4,0,,,,,,,Normal,Source of household saving and status,.,Source of food from milk,.,Transfer from family (outside of hh),,Transfer from family (outside of hh),,Cash transfers (CARE),,Food aid,,,,,,,0,0,1,2,,,,,,,,,,,,,,,,
4031,5,0,,,,,,,Normal,Source of food from milk,,Source of household saving and status,,Transfer from family (outside of hh),,Transfer from family (outside of hh),,Transfer from family (outside of hh),,Cash transfers (CARE),,,,,,,0,0,1,1,,Yes,No,No,Yes,No,No,No,No,No,No,No,,Rely on assistance from others,,
4031,6,0,,,,,,,Normal,,,,,,,,,,,,,,,,,,,,,,Destitute,,No,No,Yes,No,No,No,No,No,No,No,,Rely on assistance from others,,
4032,1,,Lack of rain and forage availability,,Disease outbreak,,Conflict,,Above normal,Source of income from livestock trading,,Source of food from milk,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,.40000001,,,,,,,,,,,,,,,,,,,,
4032,2,,,,,,,,Normal,Source of food from milk,,Source of household saving and status,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,,,,,,1,5,3,4,,,,,,,,,,,,,,,,
4032,3,0,,,,,,,Above normal,Source of income from livestock trading,,Source of food from milk,,Cash transfers (CARE),,Livestock keeping,,Food aid,,Food aid,,,,,,,0,1,0,0,,,,,,,,,,,,,,,,
4032,4,0,,,,,,,Above normal,Source of food from milk,.,Source of income from selling milk,.,Year-round wage/salaried employment,,Livestock keeping,,Livestock keeping,,Livestock keeping,,,,,,,1,2,2,2,,,,,,,,,,,,,,,,
4032,5,0,,,,,,,Normal,Source of food from milk,,Source of income from selling livestock,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,,,,,,0,0,0,0,,Yes,No,Yes,No,No,Yes,No,No,No,No,No,,Sell livestock,Rely more on food aid,
4032,6,0,,,,,,,Normal,,,,,,,,,,,,,,,,,,,,,,Viable,,No,No,No,No,No,No,No,Yes,No,No,,,,
4033,1,,Lack of rain and forage availability,,Disease outbreak,,Conflict,,Normal,Source of food from milk,,Source of income from livestock trading,,Casual labor,,Casual labor,,Casual labor,,Casual labor,,Casual labor,,Casual labor,,.5,,,,,,,,,,,,,,,,,,,,
4033,2,,,,,,,,Much below normal,Source of food from milk,,Source of household saving and status,,Livestock keeping,,Casual labor,,Other (specify),Sale of livestockfrom relative,Casual labor,,,,,,,1,6,4,5,,,,,,,,,,,,,,,,
4033,3,0,,,,,,,Normal,Source of food from milk,,Source of food from meat and blood,,Food aid,,Food aid,,Food aid,,Food aid,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,
4033,4,0,,,,,,,Normal,Source of household saving and status,.,Source of food from milk,.,Casual labor,,Casual labor,,Casual labor,,Food aid,,,,,,,0,1,1,2,,,,,,,,,,,,,,,,
4033,5,0,,,,,,,Normal,Do not own livestock,,,,Casual labor,,Casual labor,,Casual labor,,Casual labor,,,,,,,0,1,3,5,,No,,,,,,,,,,,,,,
4033,6,0,,,,,,,Normal,,,,,,,,,,,,,,,,,,,,,,Struggling,,No,No,No,No,Yes,No,No,No,No,No,,Sell livestock,,
4034,1,,Lack of rain and forage availability,,Disease outbreak,,Raiding,,Normal,Do not own livestock,,Do not own livestock,,Other (specify),None,Other (specify),None,Other (specify),None,Other (specify),None,Other (specify),None,Other (specify),None,.69999999,,,,,,,,,,,,,,,,,,,,
4034,2,,,,,,,,Above normal,.b,,.b,,Casual labor,,Casual labor,,Casual labor,,Food aid,,,,,,,0,0,7,10,,,,,,,,,,,,,,,,
4034,3,0,,,,,,,Normal,Source of food from milk,,Do not own livestock,,Food aid,,Food aid,,Food aid,,Food aid,,,,,,,3,2,3,2,,,,,,,,,,,,,,,,
4034,4,0,,,,,,,Normal,Source of household saving and status,.,Source of food from milk,.,Food aid,,Food aid,,Food aid,,Food aid,,,,,,,0,1,2,3,,,,,,,,,,,,,,,,
4034,6,0,Lack of rain and forage availability,,Disease outbreak,,Conflict,,Normal,,,,,,,,,,,,,,,,,,,,,,Destitute,,No,No,No,No,No,Yes,No,No,No,No,,Increase non-livestock activities,,
4035,1,,Lack of rain and forage availability,,Disease outbreak,,Conflict,,Above normal,Source of household saving and status,,Source of food from milk,,Casual labor,,Casual labor,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,.25,,,,,,,,,,,,,,,,,,,,
4035,2,,,,,,,,Much below normal,Source of food from milk,,Source of food from meat and blood,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,,,,,,0,8,7,5,,,,,,,,,,,,,,,,
4035,3,0,,,,,,,Normal,Source of income from livestock trading,,Source of household saving and status,,Livestock trading,,Livestock trading,,Livestock trading,,Livestock trading,,,,,,,1,2,2,2,,,,,,,,,,,,,,,,
4035,4,0,,,,,,,Normal,Source of household saving and status,.,Source of food from milk,.,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,,,,,,0,2,3,1,,,,,,,,,,,,,,,,
4035,5,0,,,,,,,Normal,Source of food from milk,,Source of household saving and status,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,,,,,,0,0,1,1,,Yes,No,No,No,No,Yes,No,No,No,No,No,,Sell livestock,,
4035,6,0,,,,,,,Above normal,,,,,,,,,,,,,,,,,,,,,,Struggling,,No,No,No,No,No,No,No,No,No,No,,,,
4036,1,,Lack of rain and forage availability,,Disease outbreak,,Conflict,,Normal,Source of income from livestock trading,,Source of food from milk,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,.5,,,,,,,,,,,,,,,,,,,,
4037,1,,Lack of rain and forage availability,,Disease outbreak,,Conflict,,Normal,Source of food from milk,,Source of food from meat and blood,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,.5,,,,,,,,,,,,,,,,,,,,
4037,2,,,,,,,,Much below normal,Source of food from milk,,Source of household saving and status,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,,,,,,3,2,4,3,,,,,,,,,,,,,,,,
4037,3,0,,,,,,,Much below normal,Source of food from meat and blood,,Source of food from milk,,Food aid,,Livestock keeping,,Food aid,,Livestock keeping,,,,,,,3,5,2,10,,,,,,,,,,,,,,,,
4037,4,0,,,,,,,Somewhat below normal,Source of household saving and status,.,Source of food from milk,.,Livestock keeping,,Transfer from family (outside of hh),,Cash transfers (CARE),,Cash transfers (CARE),,,,,,,4,8,9,6,,,,,,,,,,,,,,,,
4037,5,0,,,,,,,Normal,Source of food from milk,,Source of food from meat and blood,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,,,,,,0,0,2,2,,Yes,Yes,No,No,No,Yes,No,No,No,No,No,,Reduce the number of meals eaten each day,Sell livestock,
4037,6,0,,,,,,,Normal,,,,,,,,,,,,,,,,,,,,,,Viable,,No,No,No,No,No,No,No,Yes,No,No,,,,
4038,1,,Lack of rain and forage availability,,Disease outbreak,,Raiding,,Somewhat below normal,Source of income from livestock trading,,Source of food from milk,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,.050000001,,,,,,,,,,,,,,,,,,,,
4038,2,,,,,,,,Normal,Source of food from milk,,Source of household saving and status,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,,,,,,0,0,4,3,,,,,,,,,,,,,,,,
4038,3,0,,,,,,,Normal,Source of food from milk,,Source of food from meat and blood,,Food aid,,Livestock keeping,,Food aid,,Livestock keeping,,,,,,,8,10,9,10,,,,,,,,,,,,,,,,
4038,4,0,,,,,,,Somewhat below normal,Source of household saving and status,.,Source of food from milk,.,Livestock keeping,,Livestock keeping,,Food aid,,Cash transfers (CARE),,,,,,,4,9,7,6,,,,,,,,,,,,,,,,
4038,5,0,,,,,,,Normal,Source of income from selling livestock,,Source of food from milk,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,,,,,,1,1,2,3,,No,,,,,,,,,,,,,,
4038,6,0,,,,,,,Somewhat below normal,,,,,,,,,,,,,,,,,,,,,,Viable,,No,No,No,No,No,Yes,No,No,No,No,,Increase non-livestock activities,,
4039,1,,Lack of rain and forage availability,,Disease outbreak,,Raiding,,Normal,Source of food from meat and blood,,Source of food from milk,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,.25,,,,,,,,,,,,,,,,,,,,
4039,2,,,,,,,,Much below normal,Source of income from livestock trading,,Source of household saving and status,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,,,,,,2,11,18,17,,,,,,,,,,,,,,,,
4039,3,0,,,,,,,Somewhat below normal,Source of household saving and status,,Source of food from milk,,Livestock trading,,Livestock trading,,Livestock trading,,Livestock trading,,,,,,,1,3,2,5,,,,,,,,,,,,,,,,
4039,4,0,,,,,,,Normal,Source of household saving and status,.,Source of food from milk,.,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,,,,,,0,1,1,2,,,,,,,,,,,,,,,,
4039,5,0,,,,,,,Normal,Source of household saving and status,,Source of food from milk,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,,,,,,0,2,4,3,,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,,Reduce the number of meals eaten each day,Sell livestock,Rely on assistance from others
4039,6,0,,,,,,,Normal,,,,,,,,,,,,,,,,,,,,,,Viable,,No,No,No,No,No,No,No,Yes,No,No,,,,
4040,1,,Lack of rain and forage availability,,Disease outbreak,,Raiding,,Above normal,Source of food from meat and blood,,Source of food from milk,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,.2,,,,,,,,,,,,,,,,,,,,
4040,2,,,,,,,,Above normal,Source of food from milk,,Source of income from livestock trading,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,,,,,,0,1,2,2,,,,,,,,,,,,,,,,
4040,3,0,,,,,,,Normal,Source of food from milk,,Source of food from meat and blood,,Food aid,,Livestock keeping,,Food aid,,Livestock keeping,,,,,,,9,12,8,12,,,,,,,,,,,,,,,,
4040,4,0,,,,,,,Above normal,Source of food from milk,.,Source of food from meat and blood,.,Livestock trading,,Livestock keeping,,Livestock keeping,,Livestock keeping,,,,,,,1,2,2,2,,,,,,,,,,,,,,,,
4040,5,0,,,,,,,Normal,Source of household saving and status,,Source of food from milk,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,,,,,,0,3,2,2,,Yes,Yes,No,No,No,Yes,No,No,No,No,No,,Reduce the number of meals eaten each day,Sell livestock,
4040,6,0,,,,,,,Normal,,,,,,,,,,,,,,,,,,,,,,Struggling,,No,No,No,No,Yes,No,No,No,No,No,,Sell livestock,,
4041,1,,Lack of rain and forage availability,,Disease outbreak,,Conflict,,Normal,Source of food from meat and blood,,Source of food from milk,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,.25,,,,,,,,,,,,,,,,,,,,
4041,2,,,,,,,,Normal,Source of income from livestock trading,,Source of household saving and status,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,
4041,3,0,,,,,,,Much below normal,Source of food from milk,,Source of food from meat and blood,,Food aid,,Livestock keeping,,Food aid,,Livestock keeping,,,,,,,6,10,8,12,,,,,,,,,,,,,,,,
4041,4,0,,,,,,,Somewhat below normal,Source of food from milk,.,Source of income from livestock trading,.,Livestock trading,,Livestock trading,,Livestock keeping,,Livestock keeping,,,,,,,1,3,2,2,,,,,,,,,,,,,,,,
4041,5,0,,,,,,,Normal,Source of household saving and status,,Source of income from selling livestock,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,,,,,,0,2,4,3,,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,No,,Reduce the number of meals eaten each day,Send family members to look for work elsewhere,Sell livestock
4041,6,0,,,,,,,Normal,,,,,,,,,,,,,,,,,,,,,,Viable,,No,No,No,No,Yes,No,No,No,No,No,,Sell livestock,,
4042,1,,Lack of rain and forage availability,,Disease outbreak,,Raiding,,Much above normal,Source of food from meat and blood,,Source of food from milk,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,.44999999,,,,,,,,,,,,,,,,,,,,
4042,2,,,,,,,,Above normal,Source of income from livestock trading,,Source of food from milk,,Year-round wage/salaried employment,,Year-round wage/salaried employment,,Year-round wage/salaried employment,,Year-round wage/salaried employment,,,,,,,0,2,4,6,,,,,,,,,,,,,,,,
4042,3,0,,,,,,,Normal,Do not own livestock,,,,Year-round wage/salaried employment,,Year-round wage/salaried employment,,Year-round wage/salaried employment,,Year-round wage/salaried employment,,,,,,,1,1,0,0,,,,,,,,,,,,,,,,
4042,4,0,,,,,,,Normal,Source of household saving and status,.,Source of food from milk,.,Year-round wage/salaried employment,,Year-round wage/salaried employment,,Year-round wage/salaried employment,,Year-round wage/salaried employment,,,,,,,0,1,1,2,,,,,,,,,,,,,,,,
4042,5,0,,,,,,,Normal,Source of household saving and status,,Source of food from milk,,Casual labor,,Casual labor,,Casual labor,,Casual labor,,,,,,,0,1,2,2,,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,,Reduce the number of meals eaten each day,Rely more on food aid,Rely on assistance from others
4042,6,0,,,,,,,Normal,,,,,,,,,,,,,,,,,,,,,,Struggling,,No,Yes,No,No,Yes,No,No,No,No,No,,Rely more on food aid,Sell livestock,
4043,1,,Lack of rain and forage availability,,Disease outbreak,,Raiding,,Normal,Source of food from meat and blood,,Source of food from milk,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,.25,,,,,,,,,,,,,,,,,,,,
4043,2,,,,,,,,Normal,Source of income from livestock trading,,Source of household saving and status,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,
4043,3,0,,,,,,,Normal,Source of income from livestock trading,,Source of food from milk,,Livestock trading,,Livestock trading,,Livestock trading,,Livestock trading,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,
4043,4,0,,,,,,,Above normal,Source of food from milk,.,Source of food from meat and blood,.,Livestock trading,,Livestock keeping,,Livestock trading,,Livestock keeping,,,,,,,1,3,1,2,,,,,,,,,,,,,,,,
4043,5,0,,,,,,,Above normal,Source of food from milk,,Source of income from selling livestock,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,,,,,,0,0,0,0,,No,,,,,,,,,,,,,,
4043,6,0,,,,,,,Normal,,,,,,,,,,,,,,,,,,,,,,Viable,,No,No,No,No,No,No,No,Yes,No,No,,,,
4044,1,,Lack of rain and forage availability,,Disease outbreak,,Conflict,,Above normal,Source of food from meat and blood,,Source of food from milk,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,.44999999,,,,,,,,,,,,,,,,,,,,
4044,2,,,,,,,,Somewhat below normal,Source of income from livestock trading,,Source of food from meat and blood,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,,,,,,1,7,10,12,,,,,,,,,,,,,,,,
4044,3,0,,,,,,,Normal,Source of income from livestock trading,,Source of food from milk,,Livestock trading,,Cash transfers (CARE),,Cash transfers (CARE),,Cash transfers (CARE),,,,,,,1,1,3,2,,,,,,,,,,,,,,,,
4044,4,0,,,,,,,Normal,Source of household saving and status,.,Source of food from milk,.,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,,,,,,0,3,2,0,,,,,,,,,,,,,,,,
4044,5,0,,,,,,,Normal,Source of household saving and status,,Source of income from selling livestock,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,,,,,,0,3,4,3,,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,,Reduce the number of meals eaten each day,Rely more on food aid,Rely on assistance from others
4044,6,0,,,,,,,Above normal,,,,,,,,,,,,,,,,,,,,,,Struggling,,No,No,No,No,No,No,No,Yes,No,No,,,,
4045,1,,Lack of rain and forage availability,,Disease outbreak,,Other (specify),HEAVY RAIN,Normal,Source of food from milk,,Source of food from meat and blood,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,.25,,,,,,,,,,,,,,,,,,,,
4045,2,,,,,,,,Somewhat below normal,Source of income from livestock trading,,Source of food from milk,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,,,,,,3,4,6,10,,,,,,,,,,,,,,,,
4045,3,0,,,,,,,Above normal,Source of food from milk,,Source of income from livestock trading,,Livestock trading,,Food aid,,Food aid,,Food aid,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,
4045,4,0,,,,,,,Normal,Source of household saving and status,.,Source of food from milk,.,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,,,,,,0,2,1,0,,,,,,,,,,,,,,,,
4045,5,0,,,,,,,Normal,Source of household saving and status,,Source of food from milk,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,,,,,,0,1,3,5,,Yes,Yes,No,No,No,Yes,No,No,No,No,No,,Sell livestock,Reduce the number of meals eaten each day,
4045,6,0,,,,,,,Somewhat below normal,,,,,,,,,,,,,,,,,,,,,,Struggling,,No,No,No,No,No,No,No,Yes,No,No,,,,
4046,1,,Lack of rain and forage availability,,Disease outbreak,,Other (specify),Predation,Somewhat below normal,Source of income from livestock trading,,Source of food from milk,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,.5,,,,,,,,,,,,,,,,,,,,
4047,1,,Lack of rain and forage availability,,.b,,Other (specify),Predation,Normal,Source of food from milk,,Source of food from meat and blood,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,.44999999,,,,,,,,,,,,,,,,,,,,
4047,2,,,,,,,,Normal,Source of income from livestock trading,,Source of food from milk,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,,,,,,0,2,4,5,,,,,,,,,,,,,,,,
4048,1,,Lack of rain and forage availability,,Disease outbreak,,Other (specify),HEAVY RAIN,Normal,Source of food from meat and blood,,Source of food from milk,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,.25,,,,,,,,,,,,,,,,,,,,
4048,2,,,,,,,,Much below normal,Source of food from milk,,Source of food from meat and blood,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,,,,,,0,5,6,6,,,,,,,,,,,,,,,,
4048,3,0,,,,,,,Normal,Source of food from meat and blood,,Source of food from milk,,Food aid,,Food aid,,Food aid,,Food aid,,,,,,,1,1,2,2,,,,,,,,,,,,,,,,
4048,4,0,,,,,,,Normal,Source of food from milk,.,Source of household saving and status,.,Livestock keeping,,Cash transfers (CARE),,Livestock keeping,,Cash transfers (CARE),,,,,,,2,2,2,2,,,,,,,,,,,,,,,,
4048,5,0,,,,,,,Normal,Source of household saving and status,,Source of food from milk,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,,,,,,0,2,4,4,,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,,Reduce the number of meals eaten each day,Sell livestock,Rely on assistance from others
4049,1,,Lack of rain and forage availability,,Disease outbreak,,Raiding,,Normal,Source of food from meat and blood,,Source of food from milk,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,.5,,,,,,,,,,,,,,,,,,,,
4049,2,,,,,,,,Normal,Source of income from livestock trading,,Source of food from meat and blood,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,
4049,3,0,,,,,,,Normal,Source of food from milk,,Source of income from livestock trading,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,,,,,,0,1,0,2,,,,,,,,,,,,,,,,
4049,4,0,,,,,,,Normal,Source of household saving and status,.,Source of food from milk,.,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,,,,,,0,0,1,2,,,,,,,,,,,,,,,,
4049,5,0,,,,,,,Much below normal,Source of income from selling livestock,,Source of food from milk,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,,,,,,2,5,10,10,,Yes,No,No,No,No,Yes,No,No,No,No,Yes,food on creedit,Sell livestock,Other (specify),
4050,1,,Lack of rain and forage availability,,Disease outbreak,,Conflict,,Above normal,Source of food from meat and blood,,Source of food from milk,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,.5,,,,,,,,,,,,,,,,,,,,
4050,2,,,,,,,,Normal,Source of income from livestock trading,,Source of food from milk,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,,,,,,0,1,0,0,,,,,,,,,,,,,,,,
4050,3,0,,,,,,,Normal,Source of income from livestock trading,,Source of food from milk,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,,,,,,0,3,0,2,,,,,,,,,,,,,,,,
4050,4,0,,,,,,,Above normal,Source of food from milk,.,Source of food from meat and blood,.,Casual labor,,Casual labor,,Casual labor,,Livestock keeping,,,,,,,1,3,2,2,,,,,,,,,,,,,,,,
4050,5,0,,,,,,,Normal,Source of food from milk,,Source of household saving and status,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,,,,,,0,0,2,2,,Yes,Yes,No,No,No,Yes,No,No,No,No,No,,Sell livestock,Reduce the number of meals eaten each day,
4050,6,0,,,,,,,Normal,,,,,,,,,,,,,,,,,,,,,,Struggling,,No,No,No,No,Yes,No,No,No,No,No,,Sell livestock,,
4051,1,,Lack of rain and forage availability,,Disease outbreak,,Conflict,,Above normal,Source of food from meat and blood,,Source of food from milk,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,.89999998,,,,,,,,,,,,,,,,,,,,
4051,2,,,,,,,,Much above normal,Source of income from livestock trading,,Source of food from milk,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,
4051,3,0,,,,,,,Above normal,Source of food from milk,,Do not own livestock,,Food aid,,Transfer from family (outside of hh),,Transfer from family (outside of hh),,Transfer from family (outside of hh),,,,,,,0,0,0,0,,,,,,,,,,,,,,,,
4051,4,0,,,,,,,Somewhat below normal,Source of household saving and status,.,Source of food from milk,.,Livestock keeping,,Food aid,,Livestock keeping,,Food aid,,,,,,,3,9,9,6,,,,,,,,,,,,,,,,
4051,5,0,,,,,,,Normal,Source of income from selling livestock,,Source of food from milk,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,,,,,,0,0,0,0,,Yes,No,No,No,No,No,No,No,No,No,Yes,take food on credit,Other (specify),,
4051,6,0,,,,,,,Normal,,,,,,,,,,,,,,,,,,,,,,Struggling,,No,No,No,No,No,No,No,Yes,No,No,,,,
4052,1,,Lack of rain and forage availability,,Raiding,,Disease outbreak,,Normal,Source of food from meat and blood,,Source of food from milk,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,.15000001,,,,,,,,,,,,,,,,,,,,
4052,2,,,,,,,,Above normal,Source of food from milk,,Source of income from livestock trading,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,,,,,,0,0,1,2,,,,,,,,,,,,,,,,
4052,3,0,,,,,,,Normal,Source of food from milk,,Source of food from meat and blood,,Cash transfers (CARE),,Cash transfers (CARE),,Food aid,,Food aid,,,,,,,3,1,1,1,,,,,,,,,,,,,,,,
4052,4,0,,,,,,,Normal,Source of food from milk,.,Source of income from livestock trading,.,Livestock trading,,Livestock trading,,Livestock keeping,,Livestock keeping,,,,,,,1,2,1,2,,,,,,,,,,,,,,,,
4052,5,0,,,,,,,Normal,Source of food from milk,,Source of income from selling livestock,,Transfer from family (outside of hh),,Transfer from family (outside of hh),,Transfer from family (outside of hh),,Transfer from family (outside of hh),,,,,,,0,0,0,0,,Yes,No,No,Yes,No,No,No,No,No,No,No,,Rely on assistance from others,,
4052,6,0,,,,,,,Normal,,,,,,,,,,,,,,,,,,,,,,Struggling,,No,Yes,No,No,No,No,No,No,No,No,,Rely more on food aid,,
4053,1,,Lack of rain and forage availability,,Disease outbreak,,Other (specify),HEAVY RAIN,Normal,Source of food from meat and blood,,Source of food from milk,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,.25,,,,,,,,,,,,,,,,,,,,
4053,2,,,,,,,,Somewhat below normal,Source of income from livestock trading,,Source of food from milk,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,,,,,,5,8,6,5,,,,,,,,,,,,,,,,
