hhid,round,comment,s9q6a,s9q6b,s9q6c,s9q7a,s9q7b,s9q7c,s9q8a,s9q8b,s9q8c,s9q9,s9q10a,s9q10b,s9q10c,s9q11a,s9q11b,s9q11c,s9q12a,s9q12b,s9q12c,s9q13a,s9q13b,s9q13c,s9q14a,s9q14b,s9q14c,s9q14d,s9q14e,s9q15a,s9q15b,s9q15c,s9q15d,s9q15e,s9q16_1,s9q16_2,s9q16a,s9q16b,s9q16c,s9q16d,s9q16e,s9q16f1,s9q16f2,s9q17a,s9q17b,s9q17c,s9q17d,s9q17e,s9q18a,s9q18b,s9q18c,s9q18d,s9q18e,s9q19a,s9q19b,s9q19c,s9q19d,s9q19e,s9q20a,s9q20b,s9q20c,s9q20d,s9q20e,s9q21a,s9q21b,s9q21c,s9q21d,s9q21e,s9q22a,s9q22b,s9q22c,s9q22d,s9q22e,s9q23a,s9q23b,s9q23c,s9q23d,s9q23e,s9q24a,s9q24b,s9q24c,s9q24d,s9q24e,s9q25a,s9q25b
5071,1,,Yes,12,700,Yes,3,200,No,,,Yes,Cash,,,1,,,30,,,200,,,Yes,6450,0,0,0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5072,1,,Yes,10,1300,No,,,No,,,No,,,,,,,,,,,,,Yes,4300,2150,0,0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5072,2,,Yes,5,800,No,,,No,,,No,,,,,,,,,,,,,No,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5072,3,0,No,,,No,,,Yes,3,900,No,,,,,,,,,,,,,Yes,3500,0,1000,0,Yes,2000,0,0,0,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5072,4,0,Yes,3,870,No,,,No,,,No,,,,,,,,,,,,,No,,,,,No,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5072,5,0,No,,,No,,,No,,,No,,,,,,,,,,,,,Yes,350,0,0,0,No,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5072,7,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,No,,,,,No,,,,,No,,,,,No,,,,,No,,,,,Yes,8000,0,0,0,No,,,,,,
5073,1,,Yes,9,1250,Yes,9,660,No,,,No,,,,,,,,,,,,,Yes,4300,2150,0,0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5073,2,,Yes,5,1200,No,,,Yes,5,210,No,,,,,,,,,,,,,No,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5073,3,0,Yes,10,1500,No,,,Yes,3,500,No,,,,,,,,,,,,,Yes,1500,0,0,0,Yes,3000,1500,0,2000,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5073,4,0,Yes,6,1300,No,,,No,,,No,,,,,,,,,,,,,Yes,550,0,0,0,No,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5073,5,0,No,,,No,,,No,,,No,,,,,,,,,,,,,No,,,,,No,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5073,6,0,Yes,3,140,No,,,Yes,7,420,No,,,,,,,,,,,,,,,,,,,,,,,Yes,,No,,,,,No,Yes,No,,,,,No,,,,,No,,,,,No,,,,,No,,,,,No,,,,,No,,,,,No,,,,,,
5073,7,,No,,,Yes,4,4500,No,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5075,2,,Yes,5,1200,No,,,No,,,No,,,,,,,,,,,,,No,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5075,3,0,Yes,5,1200,Yes,9,450,No,,,No,,,,,,,,,,,,,No,,,,,No,,,,,,,Yes,4300,2150,2150,4300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5075,4,0,Yes,4,1000,Yes,3,1000,Yes,2,500,No,,,,,,,,,,,,,No,,,,,No,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5075,5,0,Yes,3,2000,Yes,9,1100,No,,,No,,,,,,,,,,,,,No,,,,,No,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5075,6,0,No,,,Yes,6,1100,No,,,Yes,Food,,,1,,,7,,,500,,,,,,,,,,,,,Yes,,No,,,,,Yes,No,No,,,,,No,,,,,No,,,,,No,,,,,No,,,,,No,,,,,No,,,,,No,,,,,,
5075,7,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,No,,,,,No,,,,,No,,,,,No,,,,,No,,,,,No,,,,,Yes,3000,4000,2000,3000,,
5076,6,0,Yes,1,3050,Yes,6,1100,Yes,1,420,No,,,,,,,,,,,,,,,,,,,,,,,Yes,,No,,,,,No,Yes,No,,,,,No,,,,,No,,,,,No,,,,,No,,,,,No,,,,,No,,,,,Yes,0,2200,0,0,,
5077,2,,Yes,5,400,No,,,No,,,No,,,,,,,,,,,,,No,,,,,Yes,4300,4300,2150,2150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5077,3,0,No,,,No,,,No,,,No,,,,,,,,,,,,,No,,,,,Yes,400,0,600,0,,,Yes,4300,3350,2150,2150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5077,4,0,Yes,3,230,No,,,No,,,No,,,,,,,,,,,,,No,,,,,No,,,,,,,Yes,3500,3500,0,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5077,5,0,Yes,6,500,No,,,No,,,No,,,,,,,,,,,,,No,,,,,No,,,,,,,Yes,0,3100,0,3100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5077,6,0,Yes,1,840,Yes,7,1100,No,,,No,,,,,,,,,,,,,,,,,,,,,,,Yes,,No,,,,,No,Yes,No,,,,,No,,,,,Yes,7000,0,0,0,No,,,,,No,,,,,No,,,,,No,,,,,No,,,,,,
5077,7,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,No,,,,,Yes,0,8000,0,6000,No,,,,,No,,,,,No,,,,,No,,,,,Yes,0,4000,2000,0,,
5082,2,,Yes,5,1200,No,,,Yes,4,315,No,,,,,,,,,,,,,No,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5082,3,0,Yes,6,1850,Yes,2,420,No,,,No,,,,,,,,,,,,,No,,,,,Yes,2000,0,2000,0,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5082,4,0,Yes,6,2640,Yes,9,1100,No,,,No,,,,,,,,,,,,,No,,,,,Yes,3000,0,0,0,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5082,5,0,Yes,3,1840,Yes,9,1100,No,,,No,,,,,,,,,,,,,Yes,300,0,200,0,No,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5082,6,0,Yes,1,4440,Yes,8,3550,Yes,1,840,No,,,,,,,,,,,,,,,,,,,,,,,Yes,,No,,,,,No,Yes,No,,,,,No,,,,,No,,,,,No,,,,,No,,,,,No,,,,,No,,,,,No,,,,,,
5082,7,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5083,6,0,No,,,Yes,6,1100,No,,,No,,,,,,,,,,,,,,,,,,,,,,,Yes,,Yes,5100,5100,0,5100,No,Yes,No,,,,,No,,,,,No,,,,,No,,,,,No,,,,,No,,,,,No,,,,,No,,,,,,
5084,2,,Yes,6,2400,Yes,9,880,Yes,6,140,No,,,,,,,,,,,,,No,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5084,3,0,Yes,12,2000,Yes,9,6000,No,,,No,,,,,,,,,,,,,Yes,1000,500,500,1000,No,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5084,4,0,No,,,Yes,3,1000,No,,,No,,,,,,,,,,,,,No,,,,,No,,,,,,,Yes,3000,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5084,5,0,Yes,7,1570,No,,,No,,,No,,,,,,,,,,,,,Yes,300,0,0,0,No,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5084,6,0,Yes,1,1380,No,,,No,,,No,,,,,,,,,,,,,,,,,,,,,,,Yes,,No,,,,,No,Yes,No,,,,,No,,,,,No,,,,,No,,,,,No,,,,,No,,,,,No,,,,,Yes,2000,0,0,0,,
5084,7,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5086,2,,No,,,Yes,9,1760,Yes,4,315,No,,,,,,,,,,,,,No,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5086,3,0,No,,,Yes,9,420,No,,,No,,,,,,,,,,,,,No,,,,,No,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5086,4,0,Yes,6,4800,Yes,9,3300,No,,,No,,,,,,,,,,,,,No,,,,,No,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5086,5,0,Yes,3,2100,Yes,8,8800,No,,,No,,,,,,,,,,,,,No,,,,,No,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5086,6,0,Yes,2,4000,Yes,6,2200,No,,,No,,,,,,,,,,,,,,,,,,,,,,,Yes,,Yes,10200,4900,0,0,Yes,Yes,No,,,,,No,,,,,No,,,,,No,,,,,No,,,,,No,,,,,No,,,,,No,,,,,,
5086,7,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,No,,,,,No,,,,,No,,,,,No,,,,,No,,,,,No,,,,,No,,,,,,
5088,3,0,Yes,6,3200,No,,,No,,,No,,,,,,,,,,,,,No,,,,,No,,,,,,,Yes,4300,3225,2150,3225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5088,4,0,No,,,No,,,Yes,2,500,No,,,,,,,,,,,,,No,,,,,No,,,,,,,Yes,7000,3500,3500,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5088,5,0,No,,,No,,,No,,,No,,,,,,,,,,,,,No,,,,,No,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5088,6,0,Yes,1,1020,No,,,No,,,No,,,,,,,,,,,,,,,,,,,,,,,Yes,,Yes,5000,0,5000,3000,Yes,Yes,No,,,,,No,,,,,No,,,,,No,,,,,No,,,,,No,,,,,No,,,,,No,,,,,,
5088,7,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,No,,,,,No,,,,,No,,,,,No,,,,,No,,,,,No,,,,,No,,,,,,
5089,2,,Yes,6,180,No,,,No,,,No,,,,,,,,,,,,,No,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5089,3,0,Yes,8,30000,Yes,4,15000,Yes,2,4000,.b,,,,,,,,,,,,,Yes,3000,1000,1500,1500,Yes,6000,1000,3000,2500,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5089,4,0,Yes,1,5300,Yes,9,1100,No,,,No,,,,,,,,,,,,,No,,,,,No,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5089,5,0,Yes,3,2000,Yes,9,3000,No,,,No,,,,,,,,,,,,,No,,,,,No,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5089,7,,Yes,2,700,No,,,No,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,No,,,,,No,,,,,No,,,,,No,,,,,No,,,,,No,,,,,No,,,,,,
5092,6,0,No,,,Yes,3,1200,No,,,No,,,,,,,,,,,,,,,,,,,,,,,Yes,,Yes,10000,5000,5000,10000,No,No,No,,,,,No,,,,,No,,,,,No,,,,,No,,,,,No,,,,,No,,,,,No,,,,,,
5093,3,0,Yes,6,825,Yes,8,420,No,,,No,,,,,,,,,,,,,No,,,,,Yes,2000,0,0,0,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5093,4,0,Yes,6,1650,Yes,9,1100,No,,,No,,,,,,,,,,,,,No,,,,,No,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5093,5,0,Yes,3,8000,Yes,9,1100,No,,,No,,,,,,,,,,,,,No,,,,,No,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5093,6,0,Yes,1,2150,No,,,No,,,No,,,,,,,,,,,,,,,,,,,,,,,Yes,,No,,,,,No,Yes,No,,,,,No,,,,,No,,,,,No,,,,,No,,,,,No,,,,,No,,,,,Yes,0,7300,0,0,,
5093,7,,Yes,3,4000,No,,,No,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,No,,,,,No,,,,,No,,,,,No,,,,,No,,,,,No,,,,,No,,,,,,
5094,3,0,Yes,8,1000,Yes,6,3520,No,,,No,,,,,,,,,,,,,No,,,,,No,,,,,,,Yes,4300,3225,2150,2150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5094,4,0,Yes,3,1300,Yes,8,1100,No,,,No,,,,,,,,,,,,,No,,,,,No,,,,,,,Yes,3500,3500,0,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5094,5,0,No,,,Yes,9,5500,No,,,No,,,,,,,,,,,,,No,,,,,No,,,,,,,Yes,0,3500,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5094,6,0,No,,,Yes,7,1100,No,,,No,,,,,,,,,,,,,,,,,,,,,,,Yes,,Yes,10000,5000,5000,5000,No,No,No,,,,,No,,,,,No,,,,,No,,,,,No,,,,,No,,,,,No,,,,,No,,,,,,
5094,7,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,No,,,,,No,,,,,No,,,,,No,,,,,No,,,,,No,,,,,No,,,,,,
5095,6,0,Yes,6,1100,Yes,1,3000,No,,,No,,,,,,,,,,,,,,,,,,,,,,,Yes,,Yes,10000,10000,10000,10000,No,Yes,No,,,,,No,,,,,No,,,,,No,,,,,No,,,,,No,,,,,No,,,,,No,,,,,,
5096,3,0,Yes,6,4400,No,,,No,,,No,,,,,,,,,,,,,No,,,,,No,,,,,,,Yes,4300,2150,2150,4300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5096,4,0,Yes,2,2375,No,,,No,,,No,,,,,,,,,,,,,No,,,,,No,,,,,,,Yes,3500,35000,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5096,5,0,Yes,4,1040,No,,,No,,,No,,,,,,,,,,,,,Yes,200,0,100,0,No,,,,,,,Yes,0,0,0,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5096,6,0,Yes,1,2100,No,,,No,,,No,,,,,,,,,,,,,,,,,,,,,,,Yes,,No,,,,,No,Yes,No,,,,,No,,,,,No,,,,,No,,,,,No,,,,,No,,,,,No,,,,,No,,,,,,
5096,7,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5103,6,0,Yes,2,4000,No,,,Yes,3,1200,No,,,,,,,,,,,,,,,,,,,,,,,Yes,,No,,,,,No,No,No,,,,,No,,,,,No,,,,,Yes,4000,8000,0,0,No,,,,,No,,,,,No,,,,,Yes,2000,0,0,0,,
5104,6,0,Yes,1,1950,No,,,No,,,No,,,,,,,,,,,,,,,,,,,,,,,Yes,,No,,,,,No,Yes,No,,,,,No,,,,,No,,,,,No,,,,,No,,,,,No,,,,,No,,,,,No,,,,,,
6001,1,,Yes,12,400,Yes,9,440,No,,,Yes,Cash,,,2,,,3,,,100,,,No,0,0,0,0,Yes,4300,2150,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6001,2,,Yes,6,2400,Yes,9,1760,No,,,No,,,,,,,,,,,,,No,,,,,Yes,4300,2150,2150,2150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6001,3,0,Yes,6,2125,Yes,8,1680,Yes,3,1050,No,,,,,,,,,,,,,No,,,,,Yes,2000,0,0,0,,,Yes,4300,3225,2150,3225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6001,4,0,Yes,6,3600,Yes,9,5200,No,,,No,,,,,,,,,,,,,No,,,,,Yes,20000,0,0,0,,,Yes,3500,3500,0,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6001,5,0,No,,,Yes,9,5500,No,,,No,,,,,,,,,,,,,No,,,,,Yes,8000,0,0,0,,,Yes,0,0,0,3500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6001,6,0,No,,,Yes,8,820,Yes,1,360,No,,,,,,,,,,,,,,,,,,,,,,,Yes,,No,,,,,No,Yes,Yes,0,0,8000,0,No,,,,,No,,,,,No,,,,,No,,,,,No,,,,,No,,,,,Yes,10000,0,0,0,,
6001,7,,Yes,2,3000,No,,,No,,,Yes,,,,,,,20,,,.a,,,,,,,,,,,,,,,,,,,,,,Yes,6000,8000,4000,6000,No,,,,,No,,,,,No,,,,,No,,,,,No,,,,,No,,,,,Yes,3000,4000,0,0,,
6002,1,,Yes,12,400,Yes,9,440,No,,,No,,,,,,,,,,,,,No,0,0,0,0,Yes,4300,2150,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6002,2,,Yes,6,2800,Yes,9,1320,No,,,No,,,,,,,,,,,,,No,,,,,Yes,4300,2150,2150,2150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6002,3,0,No,,,Yes,8,420,No,,,No,,,,,,,,,,,,,Yes,3000,3000,2500,2500,No,,,,,,,Yes,4300,3225,2150,3225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6002,4,0,No,,,Yes,9,3000,No,,,No,,,,,,,,,,,,,No,,,,,No,,,,,,,Yes,3500,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6002,5,1,No,,,Yes,9,2200,No,,,No,,,,,,,,,,,,,No,,,,,No,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6002,6,1,No,,,No,,,No,,,No,,,,,,,,,,,,,,,,,,,,,,,Yes,,Yes,9900,0,0,0,No,Yes,No,,,,,No,,,,,No,,,,,No,,,,,No,,,,,No,,,,,No,,,,,No,,,,,,
6002,7,,Yes,4,1000,No,,,No,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6004,1,,No,,,No,,,No,,,No,,,,,,,,,,,,,No,0,0,0,0,No,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6004,2,,No,,,Yes,9,440,No,,,No,,,,,,,,,,,,,No,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6004,3,0,Yes,5,1500,No,,,No,,,No,,,,,,,,,,,,,Yes,600,0,0,0,Yes,4000,0,0,0,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6004,4,0,No,,,Yes,9,3600,No,,,No,,,,,,,,,,,,,No,,,,,No,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6004,5,0,No,,,Yes,8,2200,No,,,No,,,,,,,,,,,,,No,,,,,No,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6004,6,0,No,,,Yes,7,2200,No,,,No,,,,,,,,,,,,,,,,,,,,,,,Yes,,No,,,,,No,Yes,No,,,,,No,,,,,No,,,,,No,,,,,No,,,,,No,,,,,No,,,,,No,,,,,,
6004,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6005,1,,No,,,Yes,9,2000,No,,,No,,,,,,,,,,,,,No,0,0,0,0,No,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6005,2,,No,,,Yes,9,440,No,,,No,,,,,,,,,,,,,No,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6005,3,0,Yes,2,4000,Yes,9,3564,No,,,No,,,,,,,,,,,,,No,,,,,No,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6005,4,0,No,,,Yes,9,2420,No,,,No,,,,,,,,,,,,,No,,,,,No,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6005,5,1,No,,,Yes,.b,.b,No,,,No,,,,,,,,,,,,,No,,,,,No,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6005,6,0,No,,,Yes,7,300,No,,,No,,,,,,,,,,,,,,,,,,,,,,,Yes,,No,,,,,Yes,Yes,No,,,,,No,,,,,No,,,,,No,,,,,No,,,,,No,,,,,No,,,,,No,,,,,,
6005,7,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6006,6,0,Yes,1,960,No,,,No,,,No,,,,,,,,,,,,,,,,,,,,,,,Yes,,Yes,10000,0,0,0,No,Yes,No,,,,,No,,,,,No,,,,,No,,,,,No,,,,,No,,,,,No,,,,,No,,,,,,
6007,1,,Yes,12,400,Yes,12,440,No,,,No,,,,,,,,,,,,,No,0,0,0,0,Yes,4300,2150,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6007,2,,Yes,6,2400,Yes,9,1760,No,,,No,,,,,,,,,,,,,No,,,,,Yes,4300,2150,2150,2150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6007,3,0,Yes,8,5000,Yes,9,1680,Yes,3,500,No,,,,,,,,,,,,,No,,,,,Yes,2000,1500,2200,0,,,Yes,4300,3225,2150,3225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6007,4,0,Yes,2,3400,Yes,8,2200,Yes,1,630,Yes,Food,,,1,,,40,,,300,,,No,,,,,No,,,,,,,Yes,3500,3500,0,3500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6007,5,1,No,,,Yes,8,4100,No,,,No,,,,,,,,,,,,,No,,,,,Yes,10000,10000,10000,0,,,Yes,0,0,3500,3500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6007,6,0,Yes,1,2030,Yes,9,2200,No,,,No,,,,,,,,,,,,,,,,,,,,,,,Yes,,Yes,10000,0,0,0,No,No,No,,,,,No,,,,,No,,,,,No,,,,,No,,,,,No,,,,,No,,,,,No,,,,,,
6007,7,,Yes,3,2000,No,,,No,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,6000,8000,4000,6000,No,,,,,No,,,,,No,,,,,No,,,,,No,,,,,No,,,,,No,,,,,,
6008,1,,Yes,12,400,Yes,9,440,Yes,12,200,No,,,,,,,,,,,,,No,0,0,0,0,Yes,4300,2150,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6008,2,,Yes,6,2000,Yes,9,880,Yes,6,140,No,,,,,,,,,,,,,No,,,,,Yes,4300,2150,2150,2150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6008,3,0,Yes,7,3980,Yes,8,840,Yes,4,350,Yes,Cash,,,3,,,7,,,200,,,No,,,,,No,,,,,,,Yes,4300,3225,21503,3225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6008,4,0,Yes,5,1980,Yes,9,4700,Yes,3,250,No,,,,,,,,,,,,,No,,,,,No,,,,,,,Yes,0,3500,3500,3500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6008,5,0,Yes,5,1740,Yes,8,7700,No,,,No,,,,,,,,,,,,,No,,,,,No,,,,,,,Yes,0,0,3500,3500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6008,6,0,No,,,Yes,9,1100,No,,,No,,,,,,,,,,,,,,,,,,,,,,,Yes,,Yes,4900,4900,32000,0,No,Yes,No,,,,,No,,,,,No,,,,,No,,,,,No,,,,,No,,,,,No,,,,,No,,,,,,
6008,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6009,1,,Yes,6,800,Yes,12,400,No,,,No,,,,,,,,,,,,,No,0,0,0,0,Yes,4300,2150,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6009,2,,No,,,Yes,9,880,No,,,No,,,,,,,,,,,,,No,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
