hhid,round,comment,s17q1,s17q7,s17q2,s17q11,s17q12,s17q13,s17q8,s17q9,s17q3,s17q4,s17q5,s17q6,s17q10
6085,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
6086,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
6087,5,0,very valuable,Yes,No,,,No,,,,,Yes,much more willing,had more important issues to attend
6088,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
6089,5,0,very valuable,Yes,No,,,No,,,,,Yes,much more willing,the venue too far from my home
6090,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
6092,5,0,I don't know,Yes,Yes,I don't know,somewhat more willing,,,,,,,,
6093,5,0,very valuable,Yes,No,,,Yes,2,Yes,very helpful,much more willing,,,
6094,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
6095,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
6096,5,0,I don't know,Yes,No,,,Yes,1,No,,,,,
6098,5,0,somewhat valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
6099,5,0,I don't know,Yes,Yes,somewhat helpful,less willing,,,,,,,,
6100,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
6101,5,0,I don't know,Yes,Yes,somewhat helpful,somewhat more willing,,,,,,,,
6102,5,0,somewhat valuable,Yes,Yes,somewhat helpful,somewhat more willing,,,,,,,,
6103,5,0,I don't know,Yes,Yes,very helpful,much more willing,,,,,,,,
6104,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
6105,5,0,very valuable,No,No,,,No,,,,,Yes,much more willing,
6107,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
6108,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
6109,5,0,somewhat valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
6112,5,0,somewhat valuable,Yes,Yes,I don't know,less willing,,,,,,,,
6113,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
6114,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
6115,5,0,very valuable,Yes,Yes,somewhat helpful,somewhat more willing,,,,,,,,
6116,5,0,,,,,,,,,,,,,
6123,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
6124,5,0,somewhat valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
6125,5,0,,,,,,,,,,,,,
7002,5,0,very valuable,Yes,No,,,Yes,2,Yes,very helpful,much more willing,,,
7003,5,0,I don't know,No,No,,,No,,,,,No,,
7004,5,0,I don't know,No,No,,,No,,,,,No,,
7005,5,0,I don't know,No,No,,,No,,,,,No,,
7006,5,0,somewhat valuable,Yes,No,,,Yes,1,Yes,very helpful,much more willing,,,
7007,5,0,somewhat valuable,Yes,Yes,somewhat helpful,much more willing,,,,,,,,
7008,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
7009,5,0,very valuable,Yes,No,,,No,,,,,No,,had more important issues to attend
7010,5,0,somewhat valuable,Yes,Yes,somewhat helpful,much more willing,,,,,,,,
7011,5,0,somewhat valuable,Yes,Yes,somewhat helpful,somewhat more willing,,,,,,,,
7012,5,0,somewhat valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
7013,5,0,I don't know,Yes,No,,,No,,,,,No,,had more important issues to attend
7014,5,0,very valuable,Yes,No,,,No,,,,,Yes,much more willing,had more important issues to attend
7015,5,0,very valuable,Yes,Yes,somewhat helpful,somewhat more willing,,,,,,,,
7016,5,0,somewhat valuable,No,No,,,No,,,,,Yes,much more willing,
7017,5,0,very valuable,No,No,,,No,,,,,No,,
7018,5,0,very valuable,Yes,No,,,Yes,3,Yes,somewhat helpful,somewhat more willing,,,
7019,5,0,I don't know,No,No,,,No,,,,,Yes,less willing,
7020,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
7021,5,0,I don't know,No,No,,,No,,,,,No,,
7022,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
7023,5,0,I don't know,Yes,No,,,No,,,,,Yes,less willing,had more important issues to attend
7024,5,0,somewhat valuable,Yes,No,,,No,,,,,Yes,somewhat more willing,had more important issues to attend
7025,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
7026,5,0,somewhat valuable,Yes,Yes,somewhat helpful,somewhat more willing,,,,,,,,
7027,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
7028,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
7029,5,0,somewhat valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
7030,5,0,very valuable,No,No,,,No,,,,,Yes,much more willing,
7031,5,0,somewhat valuable,Yes,Yes,somewhat helpful,much more willing,,,,,,,,
7032,5,0,somewhat valuable,Yes,No,,,No,,,,,Yes,much more willing,had more important issues to attend
7033,5,0,very valuable,Yes,No,,,Yes,2,Yes,very helpful,much more willing,,,
7034,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
7035,5,0,of low value,Yes,Yes,not helpful,less willing,,,,,,,,
7036,5,0,I don't know,No,No,,,Yes,1,No,,,,,
7037,5,0,I don't know,No,No,,,No,,,,,No,,
7038,5,0,I don't know,Yes,No,,,Yes,1,No,,,,,
7039,5,0,somewhat valuable,Yes,Yes,somewhat helpful,somewhat more willing,,,,,,,,
7040,5,0,I don't know,Yes,No,,,No,,,,,Yes,I don't know,was not informed early enough
7041,5,0,very valuable,No,No,,,No,,,,,No,,
7042,5,0,somewhat valuable,No,No,,,No,,,,,No,,
7043,5,0,I don't know,No,No,,,No,,,,,Yes,much more willing,
7049,5,0,I don't know,Yes,Yes,I don't know,somewhat more willing,,,,,,,,
8001,5,0,I don't know,No,No,,,No,,,,,No,,
8002,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
8003,5,0,very valuable,Yes,No,,,No,,,,,No,,had more important issues to attend
8004,5,0,very valuable,No,No,,,No,,,,,No,,
8005,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
8006,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
8007,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
8009,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
8010,5,0,somewhat valuable,Yes,No,,,No,,,,,Yes,somewhat more willing,had more important issues to attend
8011,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
8012,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
8013,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
8014,5,0,somewhat valuable,Yes,No,,,Yes,1,Yes,very helpful,much more willing,,,
8015,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
8018,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
8019,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
8020,5,0,I don't know,No,No,,,No,,,,,Yes,somewhat more willing,
8021,5,0,very valuable,Yes,Yes,somewhat helpful,much more willing,,,,,,,,
8022,5,0,somewhat valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
8023,5,0,very valuable,No,No,,,No,,,,,Yes,much more willing,
8024,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
8025,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
8026,5,0,very valuable,No,No,,,No,,,,,No,,
8027,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
8028,5,0,,,,,,,,,,,,,
8029,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
8030,5,0,very valuable,No,No,,,No,,,,,Yes,much more willing,
8031,5,0,no value,Yes,No,,,No,,,,,No,,had more important issues to attend
8032,5,0,very valuable,Yes,No,,,Yes,1,Yes,very helpful,much more willing,,,
8033,5,0,very valuable,No,No,,,No,,,,,No,,
8034,5,0,I don't know,Yes,No,,,No,,,,,Yes,somewhat more willing,the venue too far from my home
8035,5,0,somewhat valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
8036,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
8038,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
8039,5,0,somewhat valuable,Yes,No,,,No,,,,,Yes,somewhat more willing,had more important issues to attend
8040,5,0,of low value,No,No,,,No,,,,,No,,
8042,5,0,I don't know,Yes,Yes,very helpful,much more willing,,,,,,,,
8044,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
8045,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
8047,5,0,very valuable,No,No,,,No,,,,,Yes,I don't know,
8048,5,0,very valuable,Yes,No,,,No,,,,,Yes,much more willing,had more important issues to attend
8049,5,0,very valuable,No,No,,,No,,,,,Yes,somewhat more willing,
8050,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
8051,5,0,I don't know,No,No,,,No,,,,,No,,
8052,5,0,very valuable,Yes,Yes,somewhat helpful,much more willing,,,,,,,,
8053,5,0,I don't know,No,No,,,No,,,,,Yes,much more willing,
8054,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
8055,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
8056,5,0,somewhat valuable,Yes,Yes,somewhat helpful,somewhat more willing,,,,,,,,
8057,5,0,I don't know,No,No,,,No,,,,,No,,
8059,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
8061,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
8062,5,0,no value,Yes,No,,,No,,,,,No,,had more important issues to attend
8070,5,0,somewhat valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
9001,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
9002,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
9003,5,0,very valuable,No,No,,,No,,,,,Yes,much more willing,
9004,5,0,I don't know,Yes,Yes,somewhat helpful,somewhat more willing,,,,,,,,
9005,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
9006,5,0,very valuable,No,Yes,very helpful,much more willing,,,,,,,,
9007,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
9008,5,0,very valuable,No,Yes,very helpful,much more willing,,,,,,,,
9009,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
9010,5,0,very valuable,Yes,Yes,somewhat helpful,somewhat more willing,,,,,,,,
9011,5,0,very valuable,No,No,,,No,,,,,Yes,somewhat more willing,
9012,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
9013,5,0,very valuable,Yes,No,,,No,,,,,Yes,much more willing,had more important issues to attend
9014,5,0,somewhat valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
9015,5,0,somewhat valuable,Yes,No,,,No,,,,,Yes,somewhat more willing,had more important issues to attend
9016,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
9017,5,0,very valuable,Yes,Yes,somewhat helpful,much more willing,,,,,,,,
9020,5,0,very valuable,Yes,Yes,somewhat helpful,much more willing,,,,,,,,
9021,5,0,I don't know,Yes,No,,,No,,,,,Yes,somewhat more willing,had more important issues to attend
9022,5,0,somewhat valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
9024,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
9025,5,0,very valuable,No,Yes,somewhat helpful,somewhat more willing,,,,,,,,
9026,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
9027,5,0,very valuable,Yes,Yes,somewhat helpful,much more willing,,,,,,,,
9028,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
9029,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
9030,5,0,very valuable,No,No,,,No,,,,,Yes,much more willing,
9031,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
9032,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
9033,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
9034,5,0,somewhat valuable,Yes,No,,,No,,,,,Yes,somewhat more willing,had more important issues to attend
9035,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
9036,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
9037,5,0,very valuable,Yes,No,,,No,,,,,Yes,much more willing,had more important issues to attend
9038,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
9039,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
9040,5,0,somewhat valuable,Yes,Yes,somewhat helpful,somewhat more willing,,,,,,,,
9041,5,0,very valuable,Yes,Yes,very helpful,somewhat more willing,,,,,,,,
9042,5,0,I don't know,No,No,,,No,,,,,No,,
9043,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
9044,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
9045,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
9046,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
9047,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
9048,5,0,somewhat valuable,Yes,No,,,Yes,3,Yes,very helpful,somewhat more willing,,,
9050,5,0,somewhat valuable,Yes,Yes,somewhat helpful,less willing,,,,,,,,
9051,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
9052,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
9053,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
9054,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
9055,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
9056,5,0,very valuable,No,No,,,No,,,,,No,,
9057,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
9058,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
9059,5,0,very valuable,No,No,,,No,,,,,Yes,much more willing,
9060,5,0,very valuable,Yes,Yes,very helpful,somewhat more willing,,,,,,,,
9061,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
9062,5,0,no value,Yes,Yes,not helpful,I don't know,,,,,,,,
9063,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
9064,5,0,somewhat valuable,Yes,Yes,somewhat helpful,somewhat more willing,,,,,,,,
9065,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
9066,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
9067,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
9068,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
9069,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
9070,5,0,somewhat valuable,Yes,Yes,somewhat helpful,somewhat more willing,,,,,,,,
9071,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
9073,5,0,somewhat valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
9074,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
9075,5,0,somewhat valuable,Yes,No,,,No,,,,,Yes,somewhat more willing,had more important issues to attend
9076,5,0,very valuable,Yes,Yes,very helpful,somewhat more willing,,,,,,,,
9077,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
9078,5,0,very valuable,Yes,Yes,somewhat helpful,much more willing,,,,,,,,
9079,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
9080,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
9081,5,0,very valuable,No,No,,,No,,,,,Yes,much more willing,
9082,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
9083,5,0,very valuable,No,No,,,No,,,,,Yes,much more willing,
9084,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
9085,5,0,I don't know,Yes,Yes,somewhat helpful,somewhat more willing,,,,,,,,
9086,5,0,somewhat valuable,No,No,,,No,,,,,No,,
9087,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
9088,5,0,no value,Yes,Yes,not helpful,less willing,,,,,,,,
9089,5,0,somewhat valuable,Yes,No,,,Yes,2,Yes,somewhat helpful,somewhat more willing,,,
9090,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
9091,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
9092,5,0,somewhat valuable,No,No,,,No,,,,,Yes,much more willing,
9093,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
9094,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
9095,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
9096,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
9097,5,0,of low value,Yes,Yes,somewhat helpful,somewhat more willing,,,,,,,,
9098,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
9099,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
9100,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
9102,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
9104,5,0,,,,,,,,,,,,,
9106,5,0,very valuable,Yes,Yes,somewhat helpful,somewhat more willing,,,,,,,,
9108,5,0,somewhat valuable,Yes,No,,,No,,,,,Yes,somewhat more willing,had more important issues to attend
9111,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
9115,5,0,,,,,,,,,,,,,
10001,5,0,I don't know,No,No,,,No,,,,,Yes,somewhat more willing,
10002,5,0,somewhat valuable,Yes,Yes,somewhat helpful,somewhat more willing,,,,,,,,
10003,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
10004,5,0,somewhat valuable,Yes,No,,,No,,,,,Yes,somewhat more willing,had more important issues to attend
10005,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
10006,5,0,I don't know,No,No,,,No,,,,,Yes,somewhat more willing,
10007,5,0,somewhat valuable,Yes,No,,,No,,,,,Yes,much more willing,had more important issues to attend
10009,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
10010,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
10011,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
10013,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
10014,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
10016,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
10017,5,0,very valuable,Yes,Yes,somewhat helpful,much more willing,,,,,,,,
10018,5,0,I don't know,Yes,No,,,No,,,,,Yes,much more willing,had more important issues to attend
10019,5,0,very valuable,No,No,,,No,,,,,Yes,much more willing,
10020,5,0,very valuable,No,No,,,No,,,,,Yes,much more willing,
10021,5,0,very valuable,No,No,,,No,,,,,Yes,much more willing,
10022,5,0,no value,Yes,Yes,somewhat helpful,less willing,,,,,,,,
10023,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
10024,5,0,somewhat valuable,No,No,,,No,,,,,Yes,much more willing,
10025,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
10026,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
10027,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
10029,5,0,somewhat valuable,Yes,No,,,No,,,,,Yes,somewhat more willing,had more important issues to attend
10030,5,0,very valuable,No,No,,,No,,,,,Yes,much more willing,
10031,5,0,somewhat valuable,Yes,Yes,somewhat helpful,somewhat more willing,,,,,,,,
10033,5,0,I don't know,No,No,,,No,,,,,Yes,much more willing,
10036,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
11001,5,0,I don't know,No,No,,,No,,,,,No,,
11002,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
11003,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
11004,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
11006,5,0,very valuable,No,No,,,No,,,,,No,,
11007,5,0,very valuable,No,No,,,No,,,,,No,,
11008,5,0,somewhat valuable,No,No,,,No,,,,,No,,
11010,5,0,of low value,No,No,,,No,,,,,Yes,much more willing,
11011,5,0,somewhat valuable,Yes,No,,,No,,,,,Yes,I don't know,had more important issues to attend
11012,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
11013,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
11014,5,0,I don't know,Yes,Yes,somewhat helpful,much more willing,,,,,,,,
11018,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
11020,5,0,I don't know,Yes,Yes,somewhat helpful,much more willing,,,,,,,,
11021,5,0,I don't know,No,No,,,No,,,,,No,,
11022,5,0,very valuable,Yes,No,,,No,,,,,No,,had more important issues to attend
11023,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
11024,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
11025,5,0,very valuable,Yes,No,,,No,,,,,Yes,much more willing,had more important issues to attend
11026,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
11027,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
11028,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
11029,5,0,somewhat valuable,Yes,No,,,No,,,,,Yes,somewhat more willing,had more important issues to attend
11030,5,0,very valuable,Yes,Yes,I don't know,I don't know,,,,,,,,
11032,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
11033,5,0,somewhat valuable,Yes,No,,,No,,,,,No,,I thought it would be waste of time
11034,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
11035,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
11036,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
11038,5,0,somewhat valuable,No,No,,,No,,,,,Yes,somewhat more willing,
11039,5,0,I don't know,No,No,,,No,,,,,Yes,somewhat more willing,
11040,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
11041,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
11042,5,0,somewhat valuable,Yes,Yes,somewhat helpful,somewhat more willing,,,,,,,,
11045,5,0,very valuable,Yes,No,,,No,,,,,Yes,somewhat more willing,had more important issues to attend
11049,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
11050,5,0,somewhat valuable,Yes,No,,,No,,,,,No,,had more important issues to attend
11051,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
11054,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
11055,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
11056,5,0,very valuable,No,No,,,No,,,,,No,,
11057,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
11060,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
11061,5,0,very valuable,Yes,No,,,Yes,1,Yes,very helpful,much more willing,,,
11067,5,0,,,,,,,,,,,,,
11068,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
12001,5,0,somewhat valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
12002,5,0,somewhat valuable,Yes,Yes,somewhat helpful,somewhat more willing,,,,,,,,
12003,5,0,very valuable,Yes,No,,,No,,,,,Yes,somewhat more willing,had more important issues to attend
12004,5,0,somewhat valuable,Yes,Yes,somewhat helpful,somewhat more willing,,,,,,,,
12005,5,0,somewhat valuable,Yes,Yes,somewhat helpful,somewhat more willing,,,,,,,,
12006,5,0,very valuable,Yes,No,,,No,,,,,Yes,much more willing,had more important issues to attend
12007,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
12008,5,0,I don't know,Yes,Yes,very helpful,much more willing,,,,,,,,
12009,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
12010,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
12011,5,0,I don't know,No,No,,,No,,,,,Yes,less willing,
12015,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
12016,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
12017,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
12018,5,0,I don't know,Yes,No,,,No,,,,,Yes,much more willing,had more important issues to attend
12019,5,0,very valuable,No,No,,,No,,,,,Yes,somewhat more willing,
12020,5,0,somewhat valuable,No,No,,,No,,,,,No,,
12021,5,0,very valuable,Yes,No,,,No,,,,,Yes,somewhat more willing,had more important issues to attend
12022,5,0,very valuable,Yes,Yes,somewhat helpful,much more willing,,,,,,,,
12023,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
12024,5,0,very valuable,Yes,No,,,No,,,,,Yes,much more willing,had more important issues to attend
12025,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
12026,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
12027,5,0,very valuable,Yes,No,,,No,,,,,Yes,somewhat more willing,had more important issues to attend
12028,5,0,very valuable,Yes,Yes,somewhat helpful,much more willing,,,,,,,,
12029,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
12030,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
12031,5,0,very valuable,Yes,No,,,No,,,,,Yes,much more willing,had more important issues to attend
12032,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
12033,5,0,somewhat valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
12034,5,0,very valuable,Yes,Yes,somewhat helpful,much more willing,,,,,,,,
12035,5,0,very valuable,Yes,No,,,No,,,,,Yes,much more willing,had more important issues to attend
12036,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
12037,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
12040,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
12043,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
12044,5,0,very valuable,Yes,No,,,No,,,,,Yes,much more willing,had more important issues to attend
13001,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
13002,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
13003,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
13004,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
13005,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
13006,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
13007,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
13008,5,0,very valuable,Yes,No,,,No,,,,,No,,had more important issues to attend
13009,5,0,somewhat valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
13010,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
13011,5,0,somewhat valuable,No,No,,,No,,,,,Yes,somewhat more willing,
13013,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
13014,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
13015,5,0,somewhat valuable,Yes,No,,,No,,,,,No,,had more important issues to attend
13016,5,0,very valuable,No,No,,,No,,,,,Yes,much more willing,
13017,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
13018,5,0,somewhat valuable,No,No,,,No,,,,,Yes,somewhat more willing,
13019,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
13020,5,0,I don't know,No,No,,,No,,,,,No,,
13021,5,0,somewhat valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
13022,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
