hhid,round,s21q1,s21q2,s21q3,s21q4
16040,7,Yes,No,No,No
16042,7,Yes,No,No,No
16043,7,Yes,Yes,I don't know,I don't know
16044,7,,,,
16045,7,Yes,No,No,No
16046,7,Yes,No,No,No
16047,7,Yes,No,No,No
16048,7,Yes,No,No,No
16049,7,Yes,Yes,Yes,Yes
16050,7,Yes,No,No,No
16051,7,Yes,No,No,No
16052,7,Yes,Yes,Yes,Yes
16053,7,Yes,No,No,No
16063,7,Yes,No,No,No
16066,7,Yes,No,No,No
