hhid,round,comment,itemtype,itemtype_os,s11q11
5031,4,0,Transportation/other transaction costs for animals,,0
5031,4,0,Wages for herders,,0
5031,5,0,Other (specify),,0
5031,5,0,Water for animal consumption (that you pay for),,3500
5031,5,0,Animal fodder (purchased fodder for donkey etc),,0
5031,5,0,Other supplementary animal feeding,,0
5031,5,0,Vaccinations and other veterinarian service,,600
5031,5,0,Transportation/other transaction costs for animals,,0
5031,5,0,Wages for herders,,0
5031,6,0,Other (specify),,0
5031,6,0,Water for animal consumption (that you pay for),,5000
5031,6,0,Animal fodder (purchased fodder for donkey etc),,0
5031,6,0,Other supplementary animal feeding,,0
5031,6,0,Vaccinations and other veterinarian service,,1500
5031,6,0,Transportation/other transaction costs for animals,,400
5031,6,0,Wages for herders,,0
5034,1,,Other (specify),,0
5034,1,,Water for animal consumption (that you pay for),,0
5034,1,,Animal fodder (purchased fodder for donkey etc),,0
5034,1,,Other supplementary animal feeding,,0
5034,1,,Vaccinations and other veterinarian service,,0
5034,1,,Transportation/other transaction costs for animals,,0
5034,2,,Other (specify),,0
5034,2,,Water for animal consumption (that you pay for),,0
5034,2,,Animal fodder (purchased fodder for donkey etc),,0
5034,2,,Other supplementary animal feeding,,0
5034,2,,Vaccinations and other veterinarian service,,0
5034,2,,Transportation/other transaction costs for animals,,0
5034,7,,Water for animal consumption (that you pay for),,16000
5034,7,,Animal fodder (purchased fodder for donkey etc),,0
5034,7,,Other supplementary animal feeding,,0
5034,7,,Vaccinations and other veterinarian service,,0
5034,7,,Vaccinations and other veterinarian service,,1500
5034,7,,Transportation/other transaction costs for animals,,0
5034,7,,Wages for herders,,0
5037,1,,Other (specify),,0
5037,1,,Water for animal consumption (that you pay for),,0
5037,1,,Animal fodder (purchased fodder for donkey etc),,0
5037,1,,Other supplementary animal feeding,,0
5037,1,,Vaccinations and other veterinarian service,,450
5037,1,,Transportation/other transaction costs for animals,,0
5037,2,,Other (specify),,0
5037,2,,Water for animal consumption (that you pay for),,0
5037,2,,Animal fodder (purchased fodder for donkey etc),,0
5037,2,,Other supplementary animal feeding,,0
5037,2,,Vaccinations and other veterinarian service,,400
5037,2,,Transportation/other transaction costs for animals,,2000
5037,3,0,Other (specify),,0
5037,3,0,Water for animal consumption (that you pay for),,0
5037,3,0,Animal fodder (purchased fodder for donkey etc),,1000
5037,3,0,Other supplementary animal feeding,,1000
5037,3,0,Vaccinations and other veterinarian service,,4000
5037,3,0,Transportation/other transaction costs for animals,,0
5037,4,0,Other (specify),,0
5037,4,0,Water for animal consumption (that you pay for),,0
5037,4,0,Animal fodder (purchased fodder for donkey etc),,0
5037,4,0,Other supplementary animal feeding,,0
5037,4,0,Vaccinations and other veterinarian service,,0
5037,4,0,Transportation/other transaction costs for animals,,25000
5037,4,0,Wages for herders,,0
5037,5,0,Other (specify),,0
5037,5,0,Water for animal consumption (that you pay for),,0
5037,5,0,Animal fodder (purchased fodder for donkey etc),,0
5037,5,0,Other supplementary animal feeding,,0
5037,5,0,Vaccinations and other veterinarian service,,2000
5037,5,0,Transportation/other transaction costs for animals,,0
5037,5,0,Wages for herders,,0
5037,6,0,Other (specify),,0
5037,6,0,Water for animal consumption (that you pay for),,1000
5037,6,0,Animal fodder (purchased fodder for donkey etc),,0
5037,6,0,Other supplementary animal feeding,,0
5037,6,0,Vaccinations and other veterinarian service,,2100
5037,6,0,Transportation/other transaction costs for animals,,2000
5037,6,0,Wages for herders,,0
5037,7,,Water for animal consumption (that you pay for),,0
5037,7,,Animal fodder (purchased fodder for donkey etc),,0
5037,7,,Other supplementary animal feeding,,0
5037,7,,Vaccinations and other veterinarian service,,0
5037,7,,Vaccinations and other veterinarian service,,9000
5037,7,,Transportation/other transaction costs for animals,,0
5037,7,,Wages for herders,,0
5038,1,,Other (specify),,0
5038,1,,Water for animal consumption (that you pay for),,0
5038,1,,Animal fodder (purchased fodder for donkey etc),,0
5038,1,,Other supplementary animal feeding,,0
5038,1,,Vaccinations and other veterinarian service,,3000
5038,1,,Transportation/other transaction costs for animals,,0
5038,2,,Other (specify),,0
5038,2,,Water for animal consumption (that you pay for),,0
5038,2,,Animal fodder (purchased fodder for donkey etc),,0
5038,2,,Other supplementary animal feeding,,0
5038,2,,Vaccinations and other veterinarian service,,1500
5038,2,,Transportation/other transaction costs for animals,,0
5038,3,0,Other (specify),,0
5038,3,0,Water for animal consumption (that you pay for),,0
5038,3,0,Animal fodder (purchased fodder for donkey etc),,0
5038,3,0,Other supplementary animal feeding,,0
5038,3,0,Vaccinations and other veterinarian service,,1200
5038,3,0,Transportation/other transaction costs for animals,,0
5038,4,0,Other (specify),,0
5038,4,0,Water for animal consumption (that you pay for),,3000
5038,4,0,Animal fodder (purchased fodder for donkey etc),,0
5038,4,0,Other supplementary animal feeding,,0
5038,4,0,Vaccinations and other veterinarian service,,0
5038,4,0,Transportation/other transaction costs for animals,,0
5038,4,0,Wages for herders,,0
5038,5,0,Other (specify),,0
5038,5,0,Water for animal consumption (that you pay for),,5000
5038,5,0,Animal fodder (purchased fodder for donkey etc),,0
5038,5,0,Other supplementary animal feeding,,0
5038,5,0,Vaccinations and other veterinarian service,,4500
5038,5,0,Transportation/other transaction costs for animals,,0
5038,5,0,Wages for herders,,0
5038,7,,Water for animal consumption (that you pay for),,0
5038,7,,Animal fodder (purchased fodder for donkey etc),,0
5038,7,,Other supplementary animal feeding,,15200
5038,7,,Vaccinations and other veterinarian service,,2000
5038,7,,Vaccinations and other veterinarian service,,7000
5038,7,,Transportation/other transaction costs for animals,,0
5038,7,,Wages for herders,,0
5041,1,,Other (specify),,0
5041,1,,Water for animal consumption (that you pay for),,0
5041,1,,Animal fodder (purchased fodder for donkey etc),,0
5041,1,,Other supplementary animal feeding,,0
5041,1,,Vaccinations and other veterinarian service,,750
5041,1,,Transportation/other transaction costs for animals,,0
5041,2,,Other (specify),,0
5041,2,,Water for animal consumption (that you pay for),,720
5041,2,,Animal fodder (purchased fodder for donkey etc),,0
5041,2,,Other supplementary animal feeding,,0
5041,2,,Vaccinations and other veterinarian service,,400
5041,2,,Transportation/other transaction costs for animals,,800
5041,3,0,Other (specify),,0
5041,3,0,Water for animal consumption (that you pay for),,0
5041,3,0,Animal fodder (purchased fodder for donkey etc),,0
5041,3,0,Other supplementary animal feeding,,0
5041,3,0,Vaccinations and other veterinarian service,,1000
5041,3,0,Transportation/other transaction costs for animals,,0
5041,4,0,Other (specify),,0
5041,4,0,Water for animal consumption (that you pay for),,500
5041,4,0,Animal fodder (purchased fodder for donkey etc),,0
5041,4,0,Other supplementary animal feeding,,0
5041,4,0,Vaccinations and other veterinarian service,,200
5041,4,0,Transportation/other transaction costs for animals,,0
5041,4,0,Wages for herders,,0
5041,5,0,Other (specify),,0
5041,5,0,Water for animal consumption (that you pay for),,2000
5041,5,0,Animal fodder (purchased fodder for donkey etc),,0
5041,5,0,Other supplementary animal feeding,,0
5041,5,0,Vaccinations and other veterinarian service,,300
5041,5,0,Transportation/other transaction costs for animals,,0
5041,5,0,Wages for herders,,0
5041,6,0,Other (specify),,0
5041,6,0,Water for animal consumption (that you pay for),,5000
5041,6,0,Animal fodder (purchased fodder for donkey etc),,0
5041,6,0,Other supplementary animal feeding,,0
5041,6,0,Vaccinations and other veterinarian service,,1350
5041,6,0,Transportation/other transaction costs for animals,,1000
5041,6,0,Wages for herders,,0
5041,7,,Water for animal consumption (that you pay for),,0
5041,7,,Animal fodder (purchased fodder for donkey etc),,0
5041,7,,Other supplementary animal feeding,,0
5041,7,,Vaccinations and other veterinarian service,,9000
5041,7,,Vaccinations and other veterinarian service,,8000
5041,7,,Transportation/other transaction costs for animals,,0
5041,7,,Wages for herders,,0
5042,1,,Other (specify),,0
5042,1,,Water for animal consumption (that you pay for),,0
5042,1,,Animal fodder (purchased fodder for donkey etc),,0
5042,1,,Other supplementary animal feeding,,0
5042,1,,Vaccinations and other veterinarian service,,800
5042,1,,Transportation/other transaction costs for animals,,0
5043,1,,Other (specify),,0
5043,1,,Water for animal consumption (that you pay for),,0
5043,1,,Animal fodder (purchased fodder for donkey etc),,0
5043,1,,Other supplementary animal feeding,,0
5043,1,,Vaccinations and other veterinarian service,,800
5043,1,,Transportation/other transaction costs for animals,,0
5043,2,,Other (specify),,0
5043,2,,Water for animal consumption (that you pay for),,0
5043,2,,Animal fodder (purchased fodder for donkey etc),,0
5043,2,,Other supplementary animal feeding,,0
5043,2,,Vaccinations and other veterinarian service,,1000
5043,2,,Transportation/other transaction costs for animals,,0
5043,3,0,Other (specify),,0
5043,3,0,Water for animal consumption (that you pay for),,0
5043,3,0,Animal fodder (purchased fodder for donkey etc),,0
5043,3,0,Other supplementary animal feeding,,0
5043,3,0,Vaccinations and other veterinarian service,,5000
5043,3,0,Transportation/other transaction costs for animals,,0
5043,4,0,Other (specify),,0
5043,4,0,Water for animal consumption (that you pay for),,500
5043,4,0,Animal fodder (purchased fodder for donkey etc),,0
5043,4,0,Other supplementary animal feeding,,0
5043,4,0,Vaccinations and other veterinarian service,,0
5043,4,0,Transportation/other transaction costs for animals,,0
5043,4,0,Wages for herders,,0
5043,5,0,Other (specify),,0
5043,5,0,Water for animal consumption (that you pay for),,0
5043,5,0,Animal fodder (purchased fodder for donkey etc),,0
5043,5,0,Other supplementary animal feeding,,0
5043,5,0,Vaccinations and other veterinarian service,,1000
5043,5,0,Transportation/other transaction costs for animals,,0
5043,5,0,Wages for herders,,0
5043,6,0,Other (specify),,0
5043,6,0,Water for animal consumption (that you pay for),,0
5043,6,0,Animal fodder (purchased fodder for donkey etc),,0
5043,6,0,Other supplementary animal feeding,,0
5043,6,0,Vaccinations and other veterinarian service,,1500
5043,6,0,Transportation/other transaction costs for animals,,0
5043,6,0,Wages for herders,,0
5044,1,,Other (specify),,0
5044,1,,Water for animal consumption (that you pay for),,0
5044,1,,Animal fodder (purchased fodder for donkey etc),,0
5044,1,,Other supplementary animal feeding,,0
5044,1,,Vaccinations and other veterinarian service,,0
5044,1,,Transportation/other transaction costs for animals,,0
5044,2,,Other (specify),,0
5044,2,,Water for animal consumption (that you pay for),,0
5044,2,,Animal fodder (purchased fodder for donkey etc),,0
5044,2,,Other supplementary animal feeding,,200
5044,2,,Vaccinations and other veterinarian service,,0
5044,2,,Transportation/other transaction costs for animals,,0
5044,7,,Water for animal consumption (that you pay for),,0
5044,7,,Animal fodder (purchased fodder for donkey etc),,0
5044,7,,Other supplementary animal feeding,,0
5044,7,,Vaccinations and other veterinarian service,,2500
5044,7,,Vaccinations and other veterinarian service,,0
5044,7,,Transportation/other transaction costs for animals,,0
5044,7,,Wages for herders,,0
5045,1,,Other (specify),,0
5045,1,,Water for animal consumption (that you pay for),,0
5045,1,,Animal fodder (purchased fodder for donkey etc),,0
5045,1,,Other supplementary animal feeding,,0
5045,1,,Vaccinations and other veterinarian service,,300
5045,1,,Transportation/other transaction costs for animals,,0
5045,2,,Other (specify),,0
5045,2,,Water for animal consumption (that you pay for),,0
5045,2,,Animal fodder (purchased fodder for donkey etc),,0
5045,2,,Other supplementary animal feeding,,0
5045,2,,Vaccinations and other veterinarian service,,200
5045,2,,Transportation/other transaction costs for animals,,0
5045,3,0,Other (specify),,0
5045,3,0,Water for animal consumption (that you pay for),,0
5045,3,0,Animal fodder (purchased fodder for donkey etc),,0
5045,3,0,Other supplementary animal feeding,,0
5045,3,0,Vaccinations and other veterinarian service,,400
5045,3,0,Transportation/other transaction costs for animals,,0
5045,4,0,Other (specify),,0
5045,4,0,Water for animal consumption (that you pay for),,0
5045,4,0,Animal fodder (purchased fodder for donkey etc),,0
5045,4,0,Other supplementary animal feeding,,0
5045,4,0,Vaccinations and other veterinarian service,,0
5045,4,0,Transportation/other transaction costs for animals,,0
5045,4,0,Wages for herders,,0
5045,5,0,Other (specify),,0
5045,5,0,Water for animal consumption (that you pay for),,0
5045,5,0,Animal fodder (purchased fodder for donkey etc),,0
5045,5,0,Other supplementary animal feeding,,0
5045,5,0,Vaccinations and other veterinarian service,,1500
5045,5,0,Transportation/other transaction costs for animals,,0
5045,5,0,Wages for herders,,0
5045,6,0,Other (specify),,0
5045,6,0,Water for animal consumption (that you pay for),,0
5045,6,0,Animal fodder (purchased fodder for donkey etc),,0
5045,6,0,Other supplementary animal feeding,,0
5045,6,0,Vaccinations and other veterinarian service,,500
5045,6,0,Transportation/other transaction costs for animals,,0
5045,6,0,Wages for herders,,0
5045,7,,Water for animal consumption (that you pay for),,0
5045,7,,Animal fodder (purchased fodder for donkey etc),,0
5045,7,,Other supplementary animal feeding,,0
5045,7,,Vaccinations and other veterinarian service,,0
5045,7,,Vaccinations and other veterinarian service,,13600
5045,7,,Transportation/other transaction costs for animals,,0
5045,7,,Wages for herders,,0
5046,1,,Other (specify),,0
5046,1,,Water for animal consumption (that you pay for),,0
5046,1,,Animal fodder (purchased fodder for donkey etc),,0
5046,1,,Other supplementary animal feeding,,0
5046,1,,Vaccinations and other veterinarian service,,150
5046,1,,Transportation/other transaction costs for animals,,0
5046,2,,Other (specify),,0
5046,2,,Water for animal consumption (that you pay for),,0
5046,2,,Animal fodder (purchased fodder for donkey etc),,0
5046,2,,Other supplementary animal feeding,,0
5046,2,,Vaccinations and other veterinarian service,,0
5046,2,,Transportation/other transaction costs for animals,,0
5046,3,0,Other (specify),,0
5046,3,0,Water for animal consumption (that you pay for),,0
5046,3,0,Animal fodder (purchased fodder for donkey etc),,0
5046,3,0,Other supplementary animal feeding,,0
5046,3,0,Vaccinations and other veterinarian service,,600
5046,3,0,Transportation/other transaction costs for animals,,0
5046,4,0,Other (specify),,0
5046,4,0,Water for animal consumption (that you pay for),,0
5046,4,0,Animal fodder (purchased fodder for donkey etc),,0
5046,4,0,Other supplementary animal feeding,,0
5046,4,0,Vaccinations and other veterinarian service,,0
5046,4,0,Transportation/other transaction costs for animals,,0
5046,4,0,Wages for herders,,0
5046,5,0,Other (specify),,0
5046,5,0,Water for animal consumption (that you pay for),,0
5046,5,0,Animal fodder (purchased fodder for donkey etc),,0
5046,5,0,Other supplementary animal feeding,,0
5046,5,0,Vaccinations and other veterinarian service,,1200
5046,5,0,Transportation/other transaction costs for animals,,0
5046,5,0,Wages for herders,,0
5046,6,0,Other (specify),,0
5046,6,0,Water for animal consumption (that you pay for),,200
5046,6,0,Animal fodder (purchased fodder for donkey etc),,0
5046,6,0,Other supplementary animal feeding,,0
5046,6,0,Vaccinations and other veterinarian service,,1500
5046,6,0,Transportation/other transaction costs for animals,,1200
5046,6,0,Wages for herders,,0
5046,7,,Water for animal consumption (that you pay for),,0
5046,7,,Animal fodder (purchased fodder for donkey etc),,0
5046,7,,Other supplementary animal feeding,,0
5046,7,,Vaccinations and other veterinarian service,,0
5046,7,,Vaccinations and other veterinarian service,,2600
5046,7,,Transportation/other transaction costs for animals,,0
5046,7,,Wages for herders,,18500
5047,1,,Other (specify),,0
5047,1,,Water for animal consumption (that you pay for),,0
5047,1,,Animal fodder (purchased fodder for donkey etc),,0
5047,1,,Other supplementary animal feeding,,0
5047,1,,Vaccinations and other veterinarian service,,1500
5047,1,,Transportation/other transaction costs for animals,,0
5047,2,,Other (specify),,0
5047,2,,Water for animal consumption (that you pay for),,0
5047,2,,Animal fodder (purchased fodder for donkey etc),,0
5047,2,,Other supplementary animal feeding,,0
5047,2,,Vaccinations and other veterinarian service,,1500
5047,2,,Transportation/other transaction costs for animals,,0
5047,3,0,Other (specify),,0
5047,3,0,Water for animal consumption (that you pay for),,0
5047,3,0,Animal fodder (purchased fodder for donkey etc),,0
5047,3,0,Other supplementary animal feeding,,0
5047,3,0,Vaccinations and other veterinarian service,,500
5047,3,0,Transportation/other transaction costs for animals,,0
5047,4,0,Other (specify),,0
5047,4,0,Water for animal consumption (that you pay for),,0
5047,4,0,Animal fodder (purchased fodder for donkey etc),,0
5047,4,0,Other supplementary animal feeding,,0
5047,4,0,Vaccinations and other veterinarian service,,600
5047,4,0,Transportation/other transaction costs for animals,,0
5047,4,0,Wages for herders,,800
5047,5,0,Other (specify),,0
5047,5,0,Water for animal consumption (that you pay for),,0
5047,5,0,Animal fodder (purchased fodder for donkey etc),,0
5047,5,0,Other supplementary animal feeding,,0
5047,5,0,Vaccinations and other veterinarian service,,500
5047,5,0,Transportation/other transaction costs for animals,,0
5047,5,0,Wages for herders,,0
5047,6,0,Other (specify),,0
5047,6,0,Water for animal consumption (that you pay for),,0
5047,6,0,Animal fodder (purchased fodder for donkey etc),,0
5047,6,0,Other supplementary animal feeding,,0
5047,6,0,Vaccinations and other veterinarian service,,850
5047,6,0,Transportation/other transaction costs for animals,,0
5047,6,0,Wages for herders,,0
5047,7,,Water for animal consumption (that you pay for),,0
5047,7,,Animal fodder (purchased fodder for donkey etc),,0
5047,7,,Other supplementary animal feeding,,0
5047,7,,Vaccinations and other veterinarian service,,0
5047,7,,Vaccinations and other veterinarian service,,2400
5047,7,,Transportation/other transaction costs for animals,,0
5047,7,,Wages for herders,,0
5049,1,,Other (specify),,0
5049,1,,Water for animal consumption (that you pay for),,0
5049,1,,Animal fodder (purchased fodder for donkey etc),,0
5049,1,,Other supplementary animal feeding,,0
5049,1,,Vaccinations and other veterinarian service,,400
5049,1,,Transportation/other transaction costs for animals,,0
5049,2,,Other (specify),,0
5049,2,,Water for animal consumption (that you pay for),,0
5049,2,,Animal fodder (purchased fodder for donkey etc),,0
5049,2,,Other supplementary animal feeding,,0
5049,2,,Vaccinations and other veterinarian service,,1000
5049,2,,Transportation/other transaction costs for animals,,0
5049,3,0,Other (specify),,0
5049,3,0,Water for animal consumption (that you pay for),,0
5049,3,0,Animal fodder (purchased fodder for donkey etc),,0
5049,3,0,Other supplementary animal feeding,,0
5049,3,0,Vaccinations and other veterinarian service,,600
5049,3,0,Transportation/other transaction costs for animals,,0
5049,4,0,Other (specify),,0
5049,4,0,Water for animal consumption (that you pay for),,0
5049,4,0,Animal fodder (purchased fodder for donkey etc),,0
5049,4,0,Other supplementary animal feeding,,0
5049,4,0,Vaccinations and other veterinarian service,,200
5049,4,0,Transportation/other transaction costs for animals,,0
5049,4,0,Wages for herders,,0
5049,5,0,Other (specify),,0
5049,5,0,Water for animal consumption (that you pay for),,0
5049,5,0,Animal fodder (purchased fodder for donkey etc),,0
5049,5,0,Other supplementary animal feeding,,0
5049,5,0,Vaccinations and other veterinarian service,,120
5049,5,0,Transportation/other transaction costs for animals,,0
5049,5,0,Wages for herders,,0
5049,6,0,Other (specify),,0
5049,6,0,Water for animal consumption (that you pay for),,0
5049,6,0,Animal fodder (purchased fodder for donkey etc),,0
5049,6,0,Other supplementary animal feeding,,0
5049,6,0,Vaccinations and other veterinarian service,,500
5049,6,0,Transportation/other transaction costs for animals,,100
5049,6,0,Wages for herders,,0
5049,7,,Water for animal consumption (that you pay for),,0
5049,7,,Animal fodder (purchased fodder for donkey etc),,0
5049,7,,Other supplementary animal feeding,,0
5049,7,,Vaccinations and other veterinarian service,,3000
5049,7,,Vaccinations and other veterinarian service,,0
5049,7,,Transportation/other transaction costs for animals,,0
5049,7,,Wages for herders,,0
5050,1,,Other (specify),,0
5050,1,,Water for animal consumption (that you pay for),,0
5050,1,,Animal fodder (purchased fodder for donkey etc),,0
5050,1,,Other supplementary animal feeding,,0
5050,1,,Vaccinations and other veterinarian service,,500
5050,1,,Transportation/other transaction costs for animals,,0
5050,2,,Other (specify),,0
5050,2,,Water for animal consumption (that you pay for),,0
5050,2,,Animal fodder (purchased fodder for donkey etc),,0
5050,2,,Other supplementary animal feeding,,0
5050,2,,Vaccinations and other veterinarian service,,200
5050,2,,Transportation/other transaction costs for animals,,0
5050,3,0,Other (specify),,0
5050,3,0,Water for animal consumption (that you pay for),,0
5050,3,0,Animal fodder (purchased fodder for donkey etc),,0
5050,3,0,Other supplementary animal feeding,,0
5050,3,0,Vaccinations and other veterinarian service,,500
5050,3,0,Transportation/other transaction costs for animals,,0
5050,4,0,Other (specify),,0
5050,4,0,Water for animal consumption (that you pay for),,0
5050,4,0,Animal fodder (purchased fodder for donkey etc),,0
5050,4,0,Other supplementary animal feeding,,0
5050,4,0,Vaccinations and other veterinarian service,,260
5050,4,0,Transportation/other transaction costs for animals,,0
5050,4,0,Wages for herders,,0
5050,5,0,Other (specify),,0
5050,5,0,Water for animal consumption (that you pay for),,0
5050,5,0,Animal fodder (purchased fodder for donkey etc),,0
5050,5,0,Other supplementary animal feeding,,0
5050,5,0,Vaccinations and other veterinarian service,,760
5050,5,0,Transportation/other transaction costs for animals,,0
5050,5,0,Wages for herders,,0
5050,6,0,Other (specify),,0
5050,6,0,Water for animal consumption (that you pay for),,0
5050,6,0,Animal fodder (purchased fodder for donkey etc),,0
5050,6,0,Other supplementary animal feeding,,0
5050,6,0,Vaccinations and other veterinarian service,,1200
5050,6,0,Transportation/other transaction costs for animals,,0
5050,6,0,Wages for herders,,0
5051,1,,Other (specify),,0
5051,1,,Water for animal consumption (that you pay for),,0
5051,1,,Animal fodder (purchased fodder for donkey etc),,0
5051,1,,Other supplementary animal feeding,,0
5051,1,,Vaccinations and other veterinarian service,,300
5051,1,,Transportation/other transaction costs for animals,,0
5051,2,,Other (specify),,0
5051,2,,Water for animal consumption (that you pay for),,0
5051,2,,Animal fodder (purchased fodder for donkey etc),,0
5051,2,,Other supplementary animal feeding,,0
5051,2,,Vaccinations and other veterinarian service,,0
5051,2,,Transportation/other transaction costs for animals,,0
5051,3,0,Other (specify),,0
5051,3,0,Water for animal consumption (that you pay for),,0
5051,3,0,Animal fodder (purchased fodder for donkey etc),,0
5051,3,0,Other supplementary animal feeding,,0
5051,3,0,Vaccinations and other veterinarian service,,500
5051,3,0,Transportation/other transaction costs for animals,,0
5051,4,0,Other (specify),,0
5051,4,0,Water for animal consumption (that you pay for),,0
5051,4,0,Animal fodder (purchased fodder for donkey etc),,0
5051,4,0,Other supplementary animal feeding,,0
5051,4,0,Vaccinations and other veterinarian service,,1000
5051,4,0,Transportation/other transaction costs for animals,,0
5051,4,0,Wages for herders,,0
5051,5,0,Other (specify),,0
5051,5,0,Water for animal consumption (that you pay for),,0
5051,5,0,Animal fodder (purchased fodder for donkey etc),,0
5051,5,0,Other supplementary animal feeding,,0
5051,5,0,Vaccinations and other veterinarian service,,0
5051,5,0,Transportation/other transaction costs for animals,,0
5051,5,0,Wages for herders,,400
5051,7,,Water for animal consumption (that you pay for),,51480
5051,7,,Animal fodder (purchased fodder for donkey etc),,0
5051,7,,Other supplementary animal feeding,,0
5051,7,,Vaccinations and other veterinarian service,,0
5051,7,,Vaccinations and other veterinarian service,,2000
5051,7,,Transportation/other transaction costs for animals,,0
5051,7,,Wages for herders,,0
5052,1,,Other (specify),,0
5052,1,,Water for animal consumption (that you pay for),,0
5052,1,,Animal fodder (purchased fodder for donkey etc),,0
5052,1,,Other supplementary animal feeding,,0
5052,1,,Vaccinations and other veterinarian service,,500
5052,1,,Transportation/other transaction costs for animals,,0
5052,2,,Other (specify),,0
5052,2,,Water for animal consumption (that you pay for),,0
5052,2,,Animal fodder (purchased fodder for donkey etc),,0
5052,2,,Other supplementary animal feeding,,0
5052,2,,Vaccinations and other veterinarian service,,400
5052,2,,Transportation/other transaction costs for animals,,0
5052,3,0,Other (specify),,0
5052,3,0,Water for animal consumption (that you pay for),,0
5052,3,0,Animal fodder (purchased fodder for donkey etc),,0
5052,3,0,Other supplementary animal feeding,,0
5052,3,0,Vaccinations and other veterinarian service,,400
5052,3,0,Transportation/other transaction costs for animals,,0
5052,4,0,Other (specify),,0
5052,4,0,Water for animal consumption (that you pay for),,0
5052,4,0,Animal fodder (purchased fodder for donkey etc),,0
5052,4,0,Other supplementary animal feeding,,0
5052,4,0,Vaccinations and other veterinarian service,,130
5052,4,0,Transportation/other transaction costs for animals,,0
5052,4,0,Wages for herders,,0
5052,5,0,Other (specify),,0
5052,5,0,Water for animal consumption (that you pay for),,0
5052,5,0,Animal fodder (purchased fodder for donkey etc),,0
5052,5,0,Other supplementary animal feeding,,0
5052,5,0,Vaccinations and other veterinarian service,,500
5052,5,0,Transportation/other transaction costs for animals,,0
5052,5,0,Wages for herders,,0
5052,6,0,Other (specify),,0
5052,6,0,Water for animal consumption (that you pay for),,0
5052,6,0,Animal fodder (purchased fodder for donkey etc),,0
5052,6,0,Other supplementary animal feeding,,0
5052,6,0,Vaccinations and other veterinarian service,,900
5052,6,0,Transportation/other transaction costs for animals,,1000
5052,6,0,Wages for herders,,0
5052,7,,Water for animal consumption (that you pay for),,0
5052,7,,Animal fodder (purchased fodder for donkey etc),,0
5052,7,,Other supplementary animal feeding,,0
5052,7,,Vaccinations and other veterinarian service,,1530
5052,7,,Vaccinations and other veterinarian service,,800
5052,7,,Transportation/other transaction costs for animals,,0
5052,7,,Wages for herders,,0
5053,1,,Other (specify),,0
5053,1,,Water for animal consumption (that you pay for),,0
5053,1,,Animal fodder (purchased fodder for donkey etc),,0
5053,1,,Other supplementary animal feeding,,0
5053,1,,Vaccinations and other veterinarian service,,2000
5053,1,,Transportation/other transaction costs for animals,,0
5053,2,,Other (specify),,0
5053,2,,Water for animal consumption (that you pay for),,0
5053,2,,Animal fodder (purchased fodder for donkey etc),,0
5053,2,,Other supplementary animal feeding,,0
5053,2,,Vaccinations and other veterinarian service,,1500
5053,2,,Transportation/other transaction costs for animals,,0
5053,3,0,Other (specify),,0
5053,3,0,Water for animal consumption (that you pay for),,0
5053,3,0,Animal fodder (purchased fodder for donkey etc),,0
5053,3,0,Other supplementary animal feeding,,300
5053,3,0,Vaccinations and other veterinarian service,,400
5053,3,0,Transportation/other transaction costs for animals,,0
5053,4,0,Other (specify),,0
5053,4,0,Water for animal consumption (that you pay for),,0
5053,4,0,Animal fodder (purchased fodder for donkey etc),,0
5053,4,0,Other supplementary animal feeding,,0
5053,4,0,Vaccinations and other veterinarian service,,0
5053,4,0,Transportation/other transaction costs for animals,,0
5053,4,0,Wages for herders,,0
5053,5,0,Other (specify),,0
5053,5,0,Water for animal consumption (that you pay for),,0
5053,5,0,Animal fodder (purchased fodder for donkey etc),,0
5053,5,0,Other supplementary animal feeding,,0
5053,5,0,Vaccinations and other veterinarian service,,500
5053,5,0,Transportation/other transaction costs for animals,,0
5053,5,0,Wages for herders,,0
5053,6,0,Other (specify),,0
5053,6,0,Water for animal consumption (that you pay for),,0
5053,6,0,Animal fodder (purchased fodder for donkey etc),,1200
5053,6,0,Other supplementary animal feeding,,0
5053,6,0,Vaccinations and other veterinarian service,,1250
5053,6,0,Transportation/other transaction costs for animals,,5000
5053,6,0,Wages for herders,,0
5053,7,,Water for animal consumption (that you pay for),,3000
5053,7,,Animal fodder (purchased fodder for donkey etc),,0
5053,7,,Other supplementary animal feeding,,0
5053,7,,Vaccinations and other veterinarian service,,1500
5053,7,,Vaccinations and other veterinarian service,,0
5053,7,,Transportation/other transaction costs for animals,,0
5053,7,,Wages for herders,,0
5054,1,,Other (specify),,0
5054,1,,Water for animal consumption (that you pay for),,0
5054,1,,Animal fodder (purchased fodder for donkey etc),,0
5054,1,,Other supplementary animal feeding,,0
5054,1,,Vaccinations and other veterinarian service,,500
5054,1,,Transportation/other transaction costs for animals,,0
5054,2,,Other (specify),,0
5054,2,,Water for animal consumption (that you pay for),,0
5054,2,,Animal fodder (purchased fodder for donkey etc),,0
5054,2,,Other supplementary animal feeding,,0
5054,2,,Vaccinations and other veterinarian service,,200
5054,2,,Transportation/other transaction costs for animals,,0
5054,3,0,Other (specify),,0
5054,3,0,Water for animal consumption (that you pay for),,0
5054,3,0,Animal fodder (purchased fodder for donkey etc),,0
5054,3,0,Other supplementary animal feeding,,0
5054,3,0,Vaccinations and other veterinarian service,,1500
5054,3,0,Transportation/other transaction costs for animals,,0
5054,4,0,Other (specify),,0
5054,4,0,Water for animal consumption (that you pay for),,0
